Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
101,1,a0.b0,96668,14388,6.65999
101,1,a1.b1,0,0,0
102,1,X,97534,14468,6.70293
102,1,Y,0,0,0
102,1,a0,97534,14468,6.70293
102,1,a1,0,0,0
102,1,b0,97534,14468,6.70293
102,1,b1,0,0,0
102,1,a0.b0,97534,14468,6.70293
102,1,a1.b1,0,0,0
103,1,X,97318,14634,6.58303
103,1,Y,0,0,0
103,1,a0,97318,14634,6.58303
103,1,a1,0,0,0
103,1,b0,97318,14634,6.58303
103,1,b1,0,0,0
103,1,a0.b0,97318,14634,6.58303
103,1,a1.b1,0,0,0
104,1,X,97320,14657,6.69284
104,1,Y,0,0,0
104,1,a0,97320,14657,6.69284
104,1,a1,0,0,0
104,1,b0,97320,14657,6.69284
104,1,b1,0,0,0
104,1,a0.b0,97320,14657,6.69284
104,1,a1.b1,0,0,0
105,1,X,97361,14556,6.67512
105,1,Y,0,0,0
105,1,a0,97361,14556,6.67512
105,1,a1,0,0,0
105,1,b0,97361,14556,6.67512
105,1,b1,0,0,0
105,1,a0.b0,97361,14556,6.67512
105,1,a1.b1,0,0,0
106,1,X,97303,14679,6.61435
106,1,Y,0,0,0
