Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
65,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
65,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
65,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
65,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
65,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
65,1,Other,107636,91349,1020902,1646040,13051,8.46165
66,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
66,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
66,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
66,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
66,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
66,1,Other,127423,71104,1021159,1720560,12997,8.48534
67,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
67,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
67,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
67,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
67,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
67,1,Other,123512,74801,1021259,2099820,14672,7.63877
68,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
68,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
68,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
68,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
68,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
68,1,Other,123820,73844,1021623,1688840,14709,7.90326
69,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
69,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
69,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
69,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
69,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
